NO,NO2,NOx,NH3,CO,SO2
1.27,16.96,10.05,3.25,0.72,13.67
1.5,17.83,10.77,3.8,0.63,14.71
1.7,17.31,10.2,4.07,0.89,18.61
0.71,16.93,9.55,3.35,0.51,14.62
1.31,18,10.69,4.51,0.47,13.86
1.47,18.03,10.88,4.47,0.52,17.79
1.45,16.29,9.94,4.22,0.48,15.76
2.11,26.44,15.85,3.85,0.57,19.96
0.97,17.39,10.05,4.06,0.51,14.55
1.66,22.98,13.65,4.84,0.77,17.7
0.72,18.25,10.27,4.59,0.5,16.21
1.39,20.17,11.91,4,0.45,18.1
1.54,27.54,15.99,3.61,0.95,17.17
0.66,19.93,10.94,4.56,0.46,21.35
1.81,26.79,9.83,12.18,0.53,26.62
1.52,24.2,13.97,5.86,0.52,23.46
2.87,26.2,16.27,7.52,0.58,17.18
0.73,20.95,11.65,5.5,0.52,15.99
2.62,25.07,15.42,5.06,0.5,18.35
3.61,24.16,15.86,4.78,0.37,14.02
5,29.99,20.12,4.69,0.34,13.82
4.88,33.11,21.72,3.35,0.49,17.28
3.23,24.02,15.47,2.09,0.36,16.48
1.53,18.88,11.36,3.49,0.38,14.79
0.8,18.26,10.36,2.01,0.31,9.68
3.71,28.19,18.1,4.94,0.49,14.94
7.98,36.52,26.01,2.85,0.46,13.66
2.87,27.95,16.23,4.57,0.44,18.83
3.87,25.45,16.74,4.45,0.45,18.94
2.87,29.14,17.92,4.79,0.57,16.39
1.54,25.75,15.04,5.54,0.5,16.01
1,24.16,13.66,4.77,0.46,14.9
1.43,20.53,12.15,5.4,0.43,16.53
2.36,30.66,18.32,4.41,0.76,14.36
4.83,36.24,23.3,4.23,0.73,17.88
3.08,26.62,16.74,3.09,0.53,17.43
2.1,22,13.49,3.36,0.36,19.5
1.72,20.71,12.5,2.82,0.32,18.01
1.2,22.16,12.76,2.1,0.35,17
4.39,29.37,19.27,2.9,0.42,16.27
6.49,29.88,21.26,2.4,0.59,13.78
7.23,30.62,22.26,2.68,0.61,12.6
11.11,30.36,25.27,2.7,0.57,14.32
8.27,25.22,20.23,2.46,0.62,16.24
2.55,18,11.62,3.43,0.58,18.86
0.93,18.2,10.43,1.28,0.39,23.12
2.64,22.88,14.4,1.91,0.33,17.88
4.61,23.47,16.32,1.62,0.28,17.09
5.45,25.64,18.15,2.13,0.51,20.09
5.24,26.2,18.29,2.44,0.34,23.89
5.28,22.68,16.42,2.06,0.56,22.58
1.25,4.58,3.13,3.6,0.42,14.79
0.74,3.7,2.34,2.84,0.4,15.89
2.92,9.95,7.26,2.99,0.36,16.35
4.68,17.05,12.96,2.72,0.47,15.46
4.74,19.35,14.24,5.9,0.45,19.19
3.29,16.01,11.13,5.05,0.43,12.93
2.14,13.16,8.82,6.07,0.54,20.51
1.11,5.65,3.93,5.5,0.44,13.82
1.25,4.64,3.56,4.81,0.49,9.71
2.53,9.64,7.23,4.25,0.5,15.68
8.56,12.71,13.79,3.87,0.42,15.77
2.09,7.06,5.44,3.02,0.32,9.04
12.82,24.43,23.57,2.84,0.38,21.66
4.57,10.04,8.96,3.4,0.38,12.51
1.4,3.94,2.89,3.12,0.55,14.14
0.65,2.08,1.4,2.17,0.33,12.58
5.81,11.39,9.53,2.47,0.56,21.15
5.36,10.03,9.41,1.87,0.31,14.72
2.17,4.4,4.19,2.59,0.38,11.66
1.77,4.43,3.76,2.43,0.39,13.83
1.61,1.52,1.86,2.44,0.46,13.29
1.48,3.35,2.36,4.4,0.32,11.83
1.68,4.02,3.51,6.13,0.34,10.88
2.74,6.1,5.55,6.38,0.34,26.08
2.96,6.48,5.95,6.28,0.34,13.35
3.22,6.38,6.1,6.23,0.46,11.57
3.47,7.66,6.99,6.31,0.27,11.94
3.17,10.11,8.05,6.98,0.41,11.86
2.45,7.57,6.12,7.17,0.5,19.01
2.07,6.74,5.37,6.66,0.6,15.64
1.89,7.45,5.5,6.45,0.32,12.44
4.37,15.26,11.85,10.3,1.31,12.16
2.23,9.16,6.49,14.56,0.58,18.9
2.8,9.34,7.33,12.08,0.4,28.32
2.74,9.58,7.48,13.57,0.42,20.69
6.39,22.75,17.3,9.73,0.55,6.44
3.71,12.43,9.71,14.64,0.62,11.3
4.5,13.97,11.18,15.31,0.47,14.17
23.03,14.19,14.12,24.24,0.45,16.84
2.21,12.32,6.04,20.39,0.45,16.43
2.21,12.18,8.29,17.46,0.55,18.77
3.3,11.48,8.92,17.92,0.89,18.89
5.93,14.29,12.62,11.94,0.7,12.85
5.09,11.78,10.49,12.69,0.46,14.24
2.65,7.41,6.2,10.75,0.65,13.87
3.19,7.96,6.83,9.64,0.45,13.99
3.35,11.9,9.14,8.4,0.65,14.02
2.67,12.02,8.66,12.43,0.72,15.53
3.08,13.18,9.6,12.31,0.64,15.3
5.32,13.02,11.34,10.32,0.52,11.22
3.47,11.3,8.92,9.41,0.58,12.14
3.08,10.61,8.24,10.25,0.47,11.83
1.93,7.85,5.75,8.66,0.53,11.39
3.25,12.56,9.33,8.36,0.72,8.72
8.72,16.43,15.93,7.32,0.59,11.26
3.84,13.51,10.4,8.03,0.72,10.68
4.15,11.84,9.76,7.79,0.5,8.21
3.75,10.7,8.83,7.21,0.46,5.29
3.59,11.1,8.92,7.35,0.72,9.54
3,9.97,7.46,8.32,0.76,14.66
3.85,9.76,8.42,7.89,0.55,18.55
3.98,13.01,10.25,8.33,0.65,15.46
6.02,13.63,12.23,8.18,0.62,12.08
7.47,13.82,13.43,6.44,0.64,11.34
6,13.44,12.11,6.68,0.58,12.65
7.8,11.45,12.51,7.12,0.6,11.51
5.08,15.53,12.48,9.29,0.67,12.3
4.62,20.7,14.85,10.74,0.68,17.89
6.19,26,19.23,11.21,0.82,29.06
4,22.79,15.39,13,0.89,20.75
4.35,24.78,16.8,13.37,1.04,15.74
3.06,20.13,13.3,13.9,0.93,21.32
2.23,14.09,9.4,13.92,0.75,20.18
1.84,12.24,8.01,11.48,0.64,11.75
2.81,16.23,10.92,10.87,0.67,10.97
4.33,20.42,14.47,10.74,0.91,11.84
2.6,14.75,10.05,10.82,0.64,13.6
3.02,16.68,11.42,10.46,0.93,10.82
2.41,13.27,9.11,10.84,0.8,15.36
2.5,15.42,10.32,11.54,1.04,15.4
2.43,18.14,11.62,11.38,0.83,22.37
2.7,14.32,9.89,10.74,0.81,15.71
2.51,14.9,10.06,12.77,1,16.91
2.34,12.84,8.83,13.44,0.79,14.86
2.34,13.46,9.15,11.1,0.98,12.61
2.74,15.54,10.58,9.58,0.65,7.74
2.4,15.36,10.21,11.13,0.71,12.64
1.96,16.19,10.21,11.83,0.83,13.3
2.75,15.78,10.74,13.62,0.81,14.34
2.61,16.51,10.24,13.29,1.15,17.76
2.82,21.1,13.61,11.88,0.92,19.3
2.46,14.13,9.61,10.05,0.78,15.1
2.11,14.42,9.39,9.11,0.67,14.59
2.55,12.3,8.72,11.27,0.81,18.46
2.68,16.03,10.7,15.72,0.95,9.83
2.85,13.9,9.8,14.4,0.7,10.3
2.93,14.49,10.18,17.28,0.72,14.19
3.06,14.81,10.46,20.71,0.83,14.99
3.15,22.64,14.7,18.82,0.78,29.74
3.23,23.89,15.42,16.04,1,19.16
3.05,19.42,12.92,12.59,0.95,17.57
2.46,12.29,8.54,11.52,0.56,12.2
4.02,15.4,11.55,10.42,0.52,13.35
5.93,24.73,17.97,14.14,0.77,10.8
4.9,22.53,15.96,13.61,0.68,12.58
3.95,18.7,13.15,13.46,0.62,10.22
3.3,16.11,11.24,16.42,0.62,12.83
2.22,13.1,8.77,14.38,0.55,13.87
2.62,17.58,11.48,13.85,0.65,17.05
4.18,17.93,12.93,14.81,0.62,18.96
4.36,25.62,17.18,19.74,0.84,12.22
2.43,17.15,11.09,19.94,0.75,12.67
2.51,17.41,11.31,23.06,0.76,17.03
2.56,19.92,12.69,20.43,0.9,23.63
1.83,15.67,9.82,19.48,0.84,16.5
1.6,13.46,8.46,18.4,0.71,17.81
1.88,13.46,8.68,17.61,0.69,11.56
1.87,14.77,9.37,16.52,0.82,14.21
1.73,13.16,8.41,14.6,0.95,17.69
2.37,14.79,9.79,13.24,0.59,13.86
3.48,17.65,12.21,13.75,0.63,14.1
2.19,15.8,10.17,15.74,0.78,9.56
1.54,12.5,7.89,16.66,0.75,19.09
1.63,12.73,8.09,14.39,0.92,20.55
1.67,12.64,8.05,14.44,0.64,17.14
1.67,12.12,7.81,14.99,0.77,17.53
1.72,12.17,7.87,14.75,0.73,17.09
1.81,13.53,8.67,14.43,0.69,22.14
2.27,18.79,11.83,14.34,0.64,19.87
1.73,12.98,8.31,20.69,0.63,14.68
1.9,11.64,7.75,21.22,0.65,18.74
1.95,12.04,8,20.46,0.68,17.89
1.81,11.47,7.58,16.98,0.64,15.37
1.83,13.23,8.52,15.63,0.53,13.54
3.18,21.49,14.02,17.07,0.67,20.19
1.91,16.47,10.31,18.55,0.76,18.45
2.34,16.82,10.84,18.62,0.8,24.75
2.61,20.64,13.1,20.95,0.95,32.97
1.62,14,8.76,19.57,0.85,17.11
1.72,11.06,7.27,19.03,0.76,18.33
1.57,10.33,6.65,21.41,0.64,9.86
2.1,11.52,7.83,15.1,0.66,15.86
2.23,8.68,6.43,12.88,0.6,12.33
2.01,10.43,7.18,13.99,0.69,16.57
3.69,16.9,11.99,14.42,0.63,14.64
4.31,15.62,11.81,16.82,0.63,14.09
2.86,14.76,10.17,17.54,0.65,14.71
3.08,17.94,12.04,18.24,0.75,18.29
2.53,15.34,10.21,18.05,0.73,23.54
1.67,11.66,7.55,18.53,0.64,18.69
2.48,15.39,10.2,16.55,0.61,20
2.89,16.51,11.14,17.89,0.57,19.73
2.5,14.78,9.89,16.7,0.52,20.29
2.24,9.21,6.72,17.48,0.52,12.76
2.65,13.11,9.13,15.9,0.55,15.43
3.71,15.53,11.29,15.51,0.49,19.06
2.75,12.12,8.68,13.05,0.45,18.25
2.1,10.35,7.22,13.25,0.47,13.38
3.38,12.27,9.27,14.49,0.54,15.16
3.19,14.18,10.14,14.24,0.52,16.38
2.92,11.44,8.46,15.08,0.52,19.32
4.32,14.78,11.37,14,0.52,15.01
2.13,9.88,6.98,14.69,0.44,18.3
1.94,10.81,7.33,15.98,0.38,20.25
2.15,16.17,10.34,15.89,0.62,17.41
2.36,14.25,9.51,18.78,0.53,17.68
2.37,13.84,9.3,18.61,0.6,18.99
2.4,17.03,11.02,19.76,0.67,21.32
3.15,25.9,16.33,20.39,0.64,34.59
2.24,16.21,10.44,18.22,0.52,23.05
2.58,23.25,14.46,21.25,0.78,27.95
1.97,14.1,9.09,21.98,0.44,15.75
3.8,14.06,10.57,18.64,0.44,19.12
2.77,14.53,9.98,18.14,0.48,20.98
2.22,14.6,9.58,19.11,0.46,18.62
2.17,12.98,8.68,17.4,0.44,17.74
1.79,11.83,7.74,13.53,0.47,16.2
1.78,12.98,8.34,10.6,0.48,20.2
1.99,14.44,9.3,12.6,0.77,13
1.94,9.29,6.53,14.42,0.62,15.94
2.38,10.73,7.64,12.94,0.61,16.73
2.46,13.15,8.99,15.78,0.81,19.56
2.65,13.49,9.33,14.82,0.86,22.27
2.22,10.99,7.67,14,0.66,23.6
1.87,10.24,6.96,13.49,0.52,18.21
1.68,8.29,5.77,12.67,0.48,19.32
2.35,11.69,8.11,12.86,0.56,24.7
2.55,10.71,7.77,12.84,0.58,22.82
2.76,12.61,8.95,12.21,0.55,17.88
2.18,7.85,5.94,10.82,0.49,18.35
1.94,5.45,4.48,10.31,0.48,17.86
2.46,6.19,5.28,10.4,0.52,12.13
2.09,8.15,6.03,8.47,0.49,29.5
3.17,9.77,7.78,9.65,0.54,18.18
2.43,7.78,6.12,9.32,0.46,25.19
2.13,5.99,4.92,8.81,0.48,20.86
2.25,5.62,4.83,10.53,0.49,17.37
2.24,5.74,4.88,9.23,0.45,14.83
1.98,8.07,5.91,9.98,0.49,21.65
2.21,7.94,6.02,9.82,0.47,22.1
2.65,9.42,7.16,10.82,0.57,19.49
1.93,8.93,6.32,10.09,0.64,19.67
2.41,9.54,7.05,9.35,0.58,16.2
2.32,8.13,6.23,9.31,0.55,19.8
2.14,7.4,5.67,10.07,0.49,25.54
1.78,5.15,4.18,8.51,0.49,23.29
1.46,4.19,3.42,10.08,0.48,23
1.54,4.65,3.73,8.62,0.45,24.44
1.39,4.81,3.69,7.58,0.46,20.71
1.38,4.29,3.41,7.58,1.47,18.95
1.58,4.99,3.94,7.93,0.66,18.8
1.51,4.69,3.74,8.2,0.23,21.49
1.52,4.71,3.74,7.88,0.25,22.1
1.29,5.11,3.77,7.91,0.37,19.29
1.45,5.2,3.92,8.01,0.37,22.14
1.39,4.52,3.54,8.81,0.28,23.12
1.4,5.03,3.81,9.07,0.25,25.11
1.3,6.54,4.25,6.25,0,13.94
1.4,4.58,3.58,6.74,0,15.56
1.33,4.59,3.53,6.79,0,13.59
1.31,4.91,3.66,7.17,0,14.3
1.4,4.99,3.77,7.23,0,14.56
1.48,4.5,3.6,6.92,0,14.12
1.45,4.4,3.53,6.84,0,13.37
1.37,4.83,3.68,7.29,0,12.24
1.32,3.97,2.97,6.56,0,12.29
1.35,6.22,4.41,7.86,0,19.3
10.05,4.97,23.64,15,0.4,4.44
7.13,5.76,22.92,15.79,0.23,2.59
8.23,6.79,23.09,15.54,0.34,3.72
12.73,16.28,34.88,28.65,0.29,3.6
5.91,14.52,32.49,51.58,0.16,2.73
4.99,14.12,33.6,51.42,0.25,3.01
18.64,37.98,55.06,51.89,0.69,5.22
29.93,40.11,70.05,60.89,1.08,9.66
12.04,32.77,44.81,48.33,1.17,4.9
13.87,35.42,49.29,50.88,1.25,5.15
18.8,41.72,60.52,54.25,1.17,6.44
19.23,40.37,59.6,56.56,1.03,4.28
27.26,46.16,73.42,67.83,1.37,5.91
18.63,41.42,60.05,62.82,1.19,4.74
9.42,39.46,48.88,62.45,1.13,5.8
15.8,39.01,54.81,66.54,1.42,5.62
14.34,39.44,53.78,67.53,1.3,5.2
15.54,39.07,54.62,67.76,1.37,4.87
20.75,41.44,62.18,70.6,1.45,4.39
17.83,39.11,56.94,66.67,1.11,3.59
14.12,32.27,46.39,62.85,1.15,4.98
8.45,29.28,37.73,62.9,1.31,3.88
16.4,37.42,53.81,68.55,1.87,7.78
6.89,17.91,23.24,12.81,1.79,5.13
51.16,42.09,59.61,28.02,1.77,5.17
8.32,30.81,36.48,26.67,1.9,4.39
26.51,28.37,54.2,30.33,1.89,5.71
38.56,21.98,60.07,34.51,2.13,8.28
38.12,21.68,56.14,33.64,2,7.71
40.1,24.95,67.76,42.69,2.27,9.16
59.56,29.61,89.17,32.33,1.89,8.14
55.74,20.89,76.63,22.98,1.8,6
54.75,5.2,59.94,14.01,1.3,4.34
46.4,13.71,59.36,15.25,0.66,7.43
58.44,41.92,100.36,12.81,1.05,18.04
57.05,31.94,88.99,11.88,1.4,8.03
52.17,7.07,57.11,12.53,0.97,8.07
56.49,12.22,68.71,10.81,1.05,5.24
54.15,31.96,85.69,11.28,1.38,11.93
61.57,46.82,108.39,14.86,1.17,9.23
76.45,47.59,124.04,13.14,1.87,11
68.04,48.8,116.84,13.34,1.74,9.61
82.14,49.18,130.87,12.55,2.31,14.29
93.94,50.9,144.84,10.58,2.44,11.24
100.06,50.56,150.62,9.65,2.5,9.17
73.78,45.09,118.88,14.69,2.52,10.52
83.19,41.77,124.96,15.91,2.65,15.28
90.92,30.53,120.09,12.51,3.08,6.11
86.92,33.22,119.97,9.54,2.91,6.23
96.96,35.25,132.21,8.46,2.47,6.53
79.18,23.9,103.08,6.57,1.96,8.67
66.72,14.57,81.29,3.21,2.31,6.87
47.23,7.36,54.59,2.19,1.48,4.54
47.7,3.08,50.78,1,1.39,3.69
8.1,102.85,105.34,21.74,1.14,4.3
19.15,49.15,66.48,9.95,2.41,10.52
31.82,20.28,52.09,3.11,2.83,15.63
38.13,19.17,57.3,2.67,2.15,6.8
33.67,18.62,52.28,2.49,3.83,7.07
25.9,13.03,38.91,3.09,3.75,9.09
25.21,10.07,35.27,1.73,2.82,4.37
24.35,16.09,40.44,0.5,1.7,4.5
23.33,16.29,39.62,0.57,0.86,6.69
25.17,18.12,43.28,0.06,0.87,6.22
24.95,19.43,44.38,0.08,0.7,4.64
25.57,20.54,46.11,0.15,1.39,4.03
24.83,21.39,46.22,0.17,1.74,3.97
25.17,22.07,47.24,0.36,0.86,5.83
27.08,23.33,50.41,0.67,1.2,6.1
20.54,42.63,54.36,4.86,0.96,12.91
5.73,25.53,31.26,3.37,1.53,2.98
6.3,26.12,32.42,3.42,2.16,3.34
7.72,28.36,36.08,3.66,1.71,3.36
8,28.77,36.76,3.76,1.41,3.31
7.08,28.1,35.17,3.62,1.22,2.86
8.73,28.78,37.51,3.81,1.37,3.44
5.98,26.62,32.6,3.32,1.24,5.94
5.9,27.47,33.37,3.34,1.63,3.94
6.72,28.81,35.53,3.51,2,3.58
8.56,30.4,38.96,3.78,2.11,3.77
7.82,30.43,38.24,3.71,1.7,2.9
9.53,31.25,40.78,3.93,1.74,3.12
7.47,29.9,37.38,3.65,1.42,3.54
4.95,75.7,89.91,13.86,1.47,5.39
7.5,78.17,86.29,14.23,1.66,3.32
23.65,94.18,134.6,16.76,1.92,5.71
17.36,86.72,105.11,15.85,1.36,3.24
7.18,79.22,86.56,14.3,1.44,10
5.23,77.4,96.5,14.02,1.25,3.27
5.84,78.11,84.39,14.16,1.2,5.07
5.4,77.61,96.68,14.11,1.23,3.64
5.62,76.93,82.55,13.97,1.24,3.89
6.29,76.91,83.2,13.92,1.2,3.09
5.36,77.1,82.45,13.85,1.1,2.76
6.49,78.77,88.61,14.05,0.82,3.24
6.99,78.52,99.51,14,0.68,3.05
7.44,79.24,87.27,14.09,1.98,3.1
7.2,79.01,99.72,14.09,1.26,2.5
15.42,60.24,81.09,12.37,1.04,5.11
79.13,34.3,103.35,13.71,0.92,4.04
56.09,45.86,115.47,14.12,0.94,3.4
72.13,47.57,120.39,17.18,0.92,3.52
71.85,53.42,140.88,16.33,0.92,2.97
72.97,54.79,127.95,16.33,0.94,3.48
66.62,59.83,141.5,15.06,0.82,2.56
70.91,65.5,150.96,15.15,0.77,2.79
57.49,70.81,141.86,14.1,0.66,2.66
43.49,57.73,100.19,9.31,0.64,3.22
28.66,49.52,82.69,4.74,0.63,2.82
22.63,42.42,68.61,3.53,0.64,4.03
18.92,49.05,71.77,4.75,0.61,3.38
16.51,49.28,65.6,4.9,0.64,7.24
30.58,61.48,102.14,12.93,0.63,4.55
17.58,48.94,66.03,16.18,0.59,5.85
12.79,35.24,60.95,14.94,0.52,2.83
12.77,28.35,40.12,12.94,0.44,2.75
16.37,33.5,48.87,13.41,0.53,2.63
14.59,33.41,47,13.14,0.59,2.68
18.6,30.42,53.75,13.4,1.53,5.1
15.39,9.04,34.52,10.71,0.76,2.93
15.28,11.58,37.88,11.03,0.72,3.1
15.9,13.27,39.88,11.08,0.71,3.54
16.51,13.13,40.59,10.95,0.66,3.72
14.04,9.71,34.15,10.82,0.67,4.71
14.65,10.2,36.43,11.57,0.61,4.93
18.45,13.52,43.62,11.79,0.61,4.66
16.36,10.8,38.61,11.45,0.54,4.14
12.31,5.87,18.4,10.24,0.52,3.65
15.83,9.93,35.86,10.57,0.55,4.14
15.54,9.32,34.92,10.55,0.47,3.58
16.33,9.46,36.16,10.5,0.56,3.83
14.4,7.56,21.96,10.14,0.62,3.5
16.06,8.99,35.26,10.21,0.65,3.55
16.75,9.64,36.17,9.78,0.74,4.36
12.38,6.09,26.79,8.68,0.71,3.46
10.74,4.86,22.62,7.06,0.63,2.86
10.96,9.45,20.72,7.05,0.69,3.85
11.78,10.5,22.28,7.13,0.75,3.92
11.67,9.14,27.71,7.18,0.69,3.55
12.54,9.03,21.57,7.76,0.69,3.71
12.7,9.54,29.85,7.97,0.64,3.72
12.38,8.7,28.47,7.78,0.57,8.52
11.78,8,20.1,8.69,0.88,3.55
11.93,8.52,20.46,9.31,0.92,3.09
14.66,6.89,27.71,8.26,1.31,3.42
15.02,13.74,38.41,9.66,0.78,6.25
13.61,14.15,27.87,9.95,0.76,1.95
13.38,15.46,28.84,9.99,0.89,2.35
11.95,14.56,26.51,9.1,0.84,2.63
13.78,12.76,35.48,8.69,0.75,2.59
13.85,4.88,22.74,5.64,0.84,2.72
13.73,4.94,28.91,5.64,0.86,2.45
13.8,4.88,24.49,5.65,0.9,2.4
17.23,11.11,28.34,10.48,0.74,7.43
18.62,13.02,31.63,12.83,0.93,1.91
17.51,14.09,31.6,13.86,0.9,2.92
17.48,12.94,13.12,14.62,0.37,6.19
12.58,8.35,21.02,5.07,0.63,5.91
12.55,8.41,20.97,5.04,0.66,5.46
12.54,8.25,20.79,5.11,0.59,5.99
12.56,8.47,21.03,5.02,0.69,5.01
12.55,8.61,21.15,4.99,0.61,5.77
12.52,8.4,20.93,5.07,0.63,5.03
12.51,8.31,20.82,5.11,0.58,5.9
12.53,8.33,20.86,5.1,0.63,5.56
12.59,8.56,21.15,5.01,0.58,6.65
12.63,8.34,20.97,5.08,0.53,5.85
12.63,8.3,20.93,5.09,0.48,5.72
12.63,8.24,20.87,5.11,0.97,7.2
12.62,8.36,20.99,5.07,0.98,6.52
12.53,8.69,21.22,4.99,0.74,6.42
12.34,22.51,20.81,6.42,0.92,5.16
0.4,8.55,8.62,1.51,1.56,6.51
1.42,8.57,9.19,1.6,1.26,6.14
0.76,8.4,8.35,1.58,1.24,6.23
5.32,9.97,12.51,3.7,1.8,6.29
12.27,9.6,21.53,4.87,1.23,3.13
13.48,17.23,27.03,3.12,2.81,4.73
57.62,29.71,39.7,5.39,2.1,6.52
25.06,6.05,21.99,4.36,0.75,11.15
33.85,13.99,43.79,9.52,2.82,7.38
23.1,15.08,38.19,5.6,0,7.19
10.88,16.14,27.02,6.09,1.34,12.55
8.37,9.12,17.48,5.47,0.16,10.6
11.37,9.3,20.67,6.76,0.18,7.1
11.28,9.2,20.48,6.75,0.46,6.03
11.31,9.17,20.48,6.88,0.15,9.03
8.86,10.8,19.66,7.33,0.23,7.33
9.4,10.06,19.46,7.42,0.47,7.25
9.81,9.41,18.61,7.55,0,3.1
10.07,9.35,16.76,7.6,0,2.67
10.48,8.82,14.49,7.69,0,3.84
10.44,8.73,15.41,7.65,0.25,3.39
10.29,8.06,18.35,6.96,0.41,9.02
9.6,5.99,15.59,4.69,0.42,6.07
9.36,6.06,15.42,4.71,0.34,3.75
9.38,6.02,12.91,4.71,0.36,4.05
10.29,5.21,10.99,6.2,0.37,3.71
10.73,4.85,14.59,6.7,0.37,3.45
10.62,4.83,7.46,6.71,0.13,3.45
11.29,5.6,13.59,6.06,0.2,2.63
12.49,6.7,19.19,5.32,0.24,1.95
12.69,6.65,19.32,5.31,0.37,1.92
12.67,6.6,19.3,5.31,0.33,2.04
12.42,6.63,19.05,5.34,0.3,2.12
12.7,7.14,19.81,5.77,0.17,2.21
14.06,8.58,22.66,7.14,0.5,3.89
14.18,8.94,23.12,7.08,0.23,2.77
12.49,8.67,21.08,5.64,0.14,4.57
9.14,10.14,19.27,6.17,0.32,5.76
13.48,12.06,25.24,6.42,1.01,8.09
14.16,13.5,27.66,6.56,0.04,6.63
12.46,12.01,21,7.26,0,5.23
14.88,13.39,25.88,6.29,0,6.56
68.83,32.78,60.38,19.46,0,27.38
15.11,11.84,23.56,5.75,0.04,6.1
12.38,11.74,23.74,3.62,0,4.98
11.03,10.68,20.6,4.86,0,5.32
11.92,9.68,16.05,5.98,0,5.79
15.86,18,23.87,11.87,0,5.43
12.55,10.27,18.51,5.76,0,2.36
18.56,12.7,13.82,8.53,0,3.28
21.61,11.55,29.63,7.67,0,2.99
12.35,10.75,19.65,5.99,0,2.33
11.14,8.52,19.66,5.36,0,2.4
9.57,7.29,16.86,4.69,0,2.74
10.26,7.84,18.1,4.47,0,3.13
10.88,10.65,21.4,4.37,0,2.87
10.47,10.85,21.24,4.34,0,4.32
15.68,15.46,31.14,10.81,0,2.74
17.18,14.9,32.09,13.52,0,2.81
14.76,10.91,25.66,9.91,0,3.09
15.63,11.35,26.98,9.42,0,2.15
15.74,11.61,27.34,9.31,0,3.01
15.74,11.37,27.11,9.31,0,2.28
15.24,11.48,26.72,9.5,0,3.49
15.55,11.79,27.34,9.32,0,2.03
15.34,11.69,27.03,9.42,0,3.25
14.89,11.32,26.21,9.68,0,2.78
14.78,11.04,25.82,9.81,0,2.57
15.34,10.85,24.48,9.66,0,4.17
18.2,3.94,22.06,7.38,0.02,5.15
5.52,0.79,6.29,6.7,0,4.9
6.39,1.41,7.8,4.63,0,3.16
5,1.41,6.41,4.17,0,6.76
5.79,4.82,10.6,6.58,0.06,4.37
10.47,11.77,22.26,12.22,0,5.97
13.44,14.45,27.88,11.18,0,6.46
12.2,14.12,26.33,10.97,0,6.29
10.65,14.79,25.44,11.08,0,6.5
10.67,15.03,25.7,10.88,0,5.83
10.62,14.44,25.04,10.64,0,6.65
12.77,18.87,31.65,10.07,0,6.61
11.02,17.17,28.2,9.51,0,6.18
12.69,15.89,28.58,9.8,0,6.16
11.01,15.38,26.39,9.96,0,6.75
10.98,12.72,23.7,11.46,0,5.05
12.7,10.99,23.68,13.5,0,3.72
15.73,14.43,30.16,16.85,0,4.15
22.22,21.74,43.96,24.05,0,6.05
28.01,27.25,55.27,25.23,0,6.43
27.51,26.32,53.83,24.88,0,5.77
25.75,26.49,52.24,24.71,0,6.71
18.97,23.23,42.76,20.99,0.09,6.47
12.31,18.58,31.89,17.99,0,6.07
14.24,19.97,35.21,18.55,0,6.19
15.1,20.95,37.05,18.81,0.01,5.43
16.77,22.89,40.66,18.72,0,6.5
17.65,25.08,43.72,18.52,0,6.11
23.68,29.28,41.44,17.11,0.01,5.58
31.6,29.53,59.14,16.11,0,5.17
25.22,23.73,48.5,14.59,0,6.21
25.79,24.41,49.42,14.69,0.01,6.63
35.32,26.8,63.12,16.05,0,6.35
31.86,27.04,59.9,15.65,0.01,6.02
31.37,26.26,58.63,15.68,0,5.78
33.67,28.65,63.32,16.09,0,5.84
31.74,26.18,58.62,15.28,0.02,5.98
23.42,20.66,42.66,12.92,0,6.3
27.24,22.59,46.82,13.69,0.01,6.08
23.71,21.4,41.97,13.08,0,6.32
20.17,21.19,41.35,12.48,0.01,6
22.89,27.79,50.66,13.46,0,6.47
29.63,32.62,20.68,15,0,5.88
20.97,27.03,34.54,13.25,0,6.01
34.67,43.28,75.25,16.74,0.32,19.13
29.06,32.62,54.79,14.69,1.13,9.91
32.1,38.15,70,14.92,0.81,3.2
33.43,38.02,69.43,9.8,0.01,3.8
30.03,34.95,62.91,8.94,0,3.59
29.16,37.24,64.4,9.23,0,2.31
15.73,23.5,34.36,6.05,0.02,3.89
21.63,29.8,49.43,7.38,0.01,8.56
18.8,27.98,44.79,6.7,0.01,0.71
19.47,28.7,46.17,6.87,0.01,5.36
26.15,34.1,58.25,8.48,0,6.94
24.13,33.08,55.21,8.12,0.01,4.71
26.81,33.27,58.08,8.5,0.01,3.23
25.09,31.37,54.46,8.06,0,7.56
29.56,36.7,64.23,9.16,0.01,5.91
28.33,33.28,47.57,8.6,0.01,9.49
21.75,26.18,39.31,7.04,0.02,7.11
27.29,33.08,55.41,8.51,0.01,4.06
34.65,37.59,70.23,9.95,0.01,6.2
36.59,41.71,76.3,10.68,0.01,3.5
35.43,40.65,74.09,10.39,0.01,3.75
32.68,39.35,70.02,9.81,0.01,0.87
25.34,30.82,44.51,7.94,0.02,6.34
24.94,31.59,53.92,7.86,0.02,4.16
30.79,35.39,64.18,9.06,0.01,4.08
35.66,37.44,71.01,10.04,0.01,2.73
33.91,35.26,67.16,9.44,0.02,4.48
30.94,29.75,56.49,8.44,0.02,2.4
24.99,22.13,47.12,7.2,0.01,2.07
